"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","695","TC-UI-02 | Eliminar producto del carrito lo remueve de la lista","UI [visual]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","1108","TC-UI-07 | Carrito vacío no tiene ítems para procesar en checkout","UI [standard]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","31748","TC-UI-10 | El total en resumen = subtotal + tax","UI [problem]","2026-06-16","broken","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","762","TC-UI-07 | Carrito vacío no tiene ítems para procesar en checkout","UI [problem]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","701","TC-UI-03 | Contador se actualiza al agregar múltiples productos","UI [error]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","6474","TC-UI-08 | Checkout sin First Name muestra mensaje de error","UI [problem]","2026-06-16","failed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","1396","TC-UI-08 | Checkout sin First Name muestra mensaje de error","UI [standard]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","6181","TC-UI-11 | Agregar 3 artículos al carrito actualiza el badge a 3","UI [performance_glitch]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","858","TC-UI-07 | Carrito vacío no tiene ítems para procesar en checkout","UI [error]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","1964","TC-UI-04 | Checkout completo con datos válidos muestra confirmación","UI [standard]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","1822","TC-UI-11 | Agregar 3 artículos al carrito actualiza el badge a 3","UI [standard]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","6234","TC-UI-01 | Agregar producto al carrito actualiza el badge","UI [performance_glitch]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","785","TC-UI-03 | Contador se actualiza al agregar múltiples productos","UI [problem]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","32297","TC-UI-04 | Checkout completo con datos válidos muestra confirmación","UI [problem]","2026-06-16","broken","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","1333","TC-UI-13 | Los ítems del inventario tienen dimensiones correctas y no se superponen","UI [standard]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","1387","TC-UI-10 | El total en resumen = subtotal + tax","UI [standard]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","866","TC-UI-02 | Eliminar producto del carrito lo remueve de la lista","UI [error]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","6530","TC-UI-04 | Checkout completo con datos válidos muestra confirmación","UI [performance_glitch]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","707","TC-UI-12 | Ordenar productos Z→A muestra los nombres en orden descendente","UI [visual]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","1037","TC-UI-10 | El total en resumen = subtotal + tax","UI [visual]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","6204","TC-UI-02 | Eliminar producto del carrito lo remueve de la lista","UI [performance_glitch]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","6078","TC-UI-03 | Contador se actualiza al agregar múltiples productos","UI [performance_glitch]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","1040","TC-UI-11 | Agregar 3 artículos al carrito actualiza el badge a 3","UI [visual]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","760","TC-UI-01 | Agregar producto al carrito actualiza el badge","UI [visual]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","1166","TC-UI-13 | Los ítems del inventario tienen dimensiones correctas y no se superponen","UI [visual]","2026-06-16","failed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","6746","TC-UI-11 | Agregar 3 artículos al carrito actualiza el badge a 3","UI [error]","2026-06-16","failed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","543","TC-UI-07 | Carrito vacío no tiene ítems para procesar en checkout","UI [visual]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","11307","TC-UI-12 | Ordenar productos Z→A muestra los nombres en orden descendente","UI [performance_glitch]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","3435","TC-UI-07 | Carrito vacío no tiene ítems para procesar en checkout","UI [performance_glitch]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","709","TC-UI-03 | Contador se actualiza al agregar múltiples productos","UI [visual]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","8790","TC-UI-08 | Checkout sin First Name muestra mensaje de error","UI [performance_glitch]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","1183","TC-UI-02 | Eliminar producto del carrito lo remueve de la lista","UI [standard]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","1239","TC-UI-12 | Ordenar productos Z→A muestra los nombres en orden descendente","UI [standard]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","841","TC-UI-04 | Checkout completo con datos válidos muestra confirmación","UI [visual]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","919","TC-UI-02 | Eliminar producto del carrito lo remueve de la lista","UI [problem]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","1326","TC-UI-01 | Agregar producto al carrito actualiza el badge","UI [problem]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","932","TC-UI-12 | Ordenar productos Z→A muestra los nombres en orden descendente","UI [problem]","2026-06-16","failed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","979","TC-UI-13 | Los ítems del inventario tienen dimensiones correctas y no se superponen","UI [problem]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","1152","TC-UI-08 | Checkout sin First Name muestra mensaje de error","UI [error]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
